"Notes"	"County"	"County Code"	Births
	"Lackawanna County, PA"	"42069"	2202
	"Lancaster County, PA"	"42071"	7263
	"Lebanon County, PA"	"42075"	1589
	"Lehigh County, PA"	"42077"	4193
	"Luzerne County, PA"	"42079"	3168
	"Lycoming County, PA"	"42081"	1202
	"Mercer County, PA"	"42085"	1151
	"Monroe County, PA"	"42089"	1416
	"Montgomery County, PA"	"42091"	8905
	"Northampton County, PA"	"42095"	2791
	"Philadelphia County, PA"	"42101"	22106
	"Schuylkill County, PA"	"42107"	1318
	"Washington County, PA"	"42125"	1974
	"Westmoreland County, PA"	"42129"	3167
	"York County, PA"	"42133"	4932
	"Unidentified Counties, PA"	"42999"	16590
	"Kent County, RI"	"44003"	1636
	"Providence County, RI"	"44007"	7391
	"Washington County, RI"	"44009"	878
	"Unidentified Counties, RI"	"44999"	1088
	"Aiken County, SC"	"45003"	1993
	"Anderson County, SC"	"45007"	2254
	"Beaufort County, SC"	"45013"	2058
	"Berkeley County, SC"	"45015"	2725
	"Charleston County, SC"	"45019"	4994
	"Dorchester County, SC"	"45035"	1819
	"Florence County, SC"	"45041"	1696
	"Greenville County, SC"	"45045"	6429
	"Horry County, SC"	"45051"	3176
	"Lexington County, SC"	"45063"	3201
	"Pickens County, SC"	"45077"	1251
	"Richland County, SC"	"45079"	5014
	"Spartanburg County, SC"	"45083"	3560
	"Sumter County, SC"	"45085"	1528
	"York County, SC"	"45091"	2936
	"Unidentified Counties, SC"	"45999"	13505
	"Minnehaha County, SD"	"46099"	3048
	"Pennington County, SD"	"46103"	1535
	"Unidentified Counties, SD"	"46999"	7753
	"Blount County, TN"	"47009"	1234
	"Davidson County, TN"	"47037"	10325
	"Hamilton County, TN"	"47065"	4287
	"Knox County, TN"	"47093"	5359
	"Montgomery County, TN"	"47125"	3475
	"Rutherford County, TN"	"47149"	3958
	"Shelby County, TN"	"47157"	13478
	"Sullivan County, TN"	"47163"	1526
	"Sumner County, TN"	"47165"	2123
	"Washington County, TN"	"47179"	1341
	"Williamson County, TN"	"47187"	2261
	"Wilson County, TN"	"47189"	1469
	"Unidentified Counties, TN"	"47999"	30849
	"Bell County, TX"	"48027"	6500
	"Bexar County, TX"	"48029"	28182
	"Brazoria County, TX"	"48039"	4943
	"Brazos County, TX"	"48041"	2904
	"Cameron County, TX"	"48061"	7242
	"Collin County, TX"	"48085"	10923
	"Comal County, TX"	"48091"	1634
	"Dallas County, TX"	"48113"	40131
	"Denton County, TX"	"48121"	10043
	"Ector County, TX"	"48135"	2991
	"Ellis County, TX"	"48139"	2126
	"El Paso County, TX"	"48141"	13521
	"Fort Bend County, TX"	"48157"	9888
	"Galveston County, TX"	"48167"	4218
	"Grayson County, TX"	"48181"	1581
	"Gregg County, TX"	"48183"	1859
	"Guadalupe County, TX"	"48187"	1838
	"Harris County, TX"	"48201"	73478
	"Hays County, TX"	"48209"	2468
	"Hidalgo County, TX"	"48215"	16086
	"Jefferson County, TX"	"48245"	3783
	"Johnson County, TX"	"48251"	2093
	"Kaufman County, TX"	"48257"	1540
	"Lubbock County, TX"	"48303"	4113
	"McLennan County, TX"	"48309"	3528
	"Midland County, TX"	"48329"	3034
	"Montgomery County, TX"	"48339"	7338
	"Nueces County, TX"	"48355"	5056
	"Parker County, TX"	"48367"	1485
	"Potter County, TX"	"48375"	1945
	"Randall County, TX"	"48381"	1667
	"Smith County, TX"	"48423"	3110
	"Tarrant County, TX"	"48439"	28370
	"Taylor County, TX"	"48441"	2097
	"Tom Green County, TX"	"48451"	1722
	"Travis County, TX"	"48453"	16304
	"Webb County, TX"	"48479"	5356
	"Wichita County, TX"	"48485"	1741
	"Williamson County, TX"	"48491"	6433
	"Unidentified Counties, TX"	"48999"	60347
	"Cache County, UT"	"49005"	2363
	"Davis County, UT"	"49011"	5878
	"Salt Lake County, UT"	"49035"	17398
	"Utah County, UT"	"49049"	11945
	"Washington County, UT"	"49053"	2170
	"Weber County, UT"	"49057"	3926
	"Unidentified Counties, UT"	"49999"	7098
	"Chittenden County, VT"	"50007"	1560
	"Unidentified Counties, VT"	"50999"	4343
	"Arlington County, VA"	"51013"	3166
	"Chesterfield County, VA"	"51041"	3803
	"Fairfax County, VA"	"51059"	14448
	"Henrico County, VA"	"51087"	3997
	"Loudoun County, VA"	"51107"	5307
	"Prince William County, VA"	"51153"	6858
	"Spotsylvania County, VA"	"51177"	1591
	"Stafford County, VA"	"51179"	1665
	"Alexandria city, VA"	"51510"	2857
	"Chesapeake city, VA"	"51550"	2988
	"Hampton city, VA"	"51650"	1640
	"Newport News city, VA"	"51700"	2804
	"Norfolk city, VA"	"51710"	3743
	"Richmond city, VA"	"51760"	3111
